commit_sha,commit_time,release_tag,platform,project,status,error,install_size_bytes,bob_build_time_ms,open_time_ms,memory_after_open_bytes,build_time_ms,memory_after_build_bytes,memory_added_by_build_bytes,comment
ec44ea669c55d9dcaa986bf72773ceeb454d43fa,2026-04-28T13:31:35Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310717134,41266,72321,3147328512,98717,3919867904,772539392,
2385febceb71e6ee13fc32fbb3984440ec822c09,2026-04-29T17:34:40Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310725372,41233,72727,3141794816,98962,3911896064,770101248,
78106b90a5dc579a79655652a5f59a4534121688,2026-04-30T12:42:15Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310759317,43503,73311,3137590272,100518,3915455488,777865216,
0d7b5a51ba1a6dc7bc8e258274a67954db9c8744,2026-05-01T15:24:07Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310985622,42009,75126,3150721024,99263,3917940736,767219712,
78e82e9eb8acc3aa5b7e289348c6772bbc0afb54,2026-05-02T15:57:15Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310988638,42028,73669,3151010816,99544,3916569600,765558784,
4f0413ade54b08b2cbbbd5ff34a0a3f368f1f009,2026-05-03T09:40:11Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310985243,42043,74036,3146347520,100540,3923120128,776772608,
2009e6e0d92bbbe1b7732ab3ba2e9d9f69cab79e,2026-05-04T14:59:19Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311022963,42143,75085,3161731072,110237,3925747712,764016640,
a94b9b75b7e110a9b406cbc8a3ca7918f6a754d1,2026-05-05T15:13:00Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310907530,43116,75852,3144210432,102708,3910505472,766295040,
6989d14bcc7e4cf9688de572866945d18fd714c3,2026-05-06T07:56:17Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310907875,42077,73353,3147099136,113217,3920366592,773267456,
45f0a15e508998cac49169dd953b0f1c52f157e1,2026-05-07T13:11:01Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310925518,41262,72340,3142303744,103797,3913830400,771526656,
b3dbc7574c9544dc58f0b53ce38bd93f782972bb,2026-05-08T16:05:50Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310958068,42505,75328,3153917952,107805,3921612800,767694848,
8990e977e08230dee041e11c0559774d7088a14c,2026-05-09T10:57:35Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310959586,42084,70659,3152279552,100032,3917968384,765688832,
2680dd6718c0f00ca755026a4620bb07bcf31451,2026-05-11T10:10:26Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310921190,39131,71760,3140636672,103122,3917380608,776743936,
c137504621fd70fa1f1b810a5f98e1c04e5c4f1d,2026-05-11T14:21:25Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310699001,39091,71220,3152185344,95464,3917190144,765004800,
ee9a173459c1379acb37ea80917581240f0a915f,2026-05-13T02:13:00Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311100170,39525,72764,3146531840,100885,3921426432,774894592,
324386208ca2da888e5e6b417b60c647a4f370c6,2026-05-13T13:23:01Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311100302,45472,75510,3146513408,106960,3905566720,759053312,
2f53a81eda9463d707e053fd2d88a1046af35c8c,2026-05-14T07:14:00Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310868286,41076,75252,3146184704,109398,3912208384,766023680,
807b31b885525a9e9da8700ff1c239aaff51e339,2026-05-15T07:52:20Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310711554,43660,75975,3157481472,111777,3925502976,768021504,
88449618b1d323901dc5e57d78a3b92528d0d40a,2026-05-16T14:17:08Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310704371,44469,74625,3158918144,112262,3933446144,774528000,
b73b7f8fe806bb9802a2faaf94d6ae0cbfa3a814,2026-05-18T15:29:32Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,310965949,44500,75236,3160103936,112563,3924791296,764687360,
b723425e4caf06e63be97ee8dca687976ad628ad,2026-05-19T13:51:27Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311907115,40772,75442,3162133504,113636,3931255808,769122304,
d5fd860497b9fb08a2afde6bd5da5111efd7ead1,2026-05-20T14:03:40Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311929858,46489,76169,3143833600,105362,3923121152,779287552,
aa0840d7634428e28ef0a46e37051cc39e753930,2026-05-21T16:11:07Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311942958,42795,76818,3155415040,111689,3929750528,774335488,
3a16eb6392d1329cd9ce18aed2d167bf979e5047,2026-05-22T12:52:38Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311839411,43796,73130,3144219648,111870,3912951808,768732160,
e5dceeaeac567cdb2c0aad838290535b9e0d865f,2026-05-25T14:08:27Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,312079592,43951,75795,3160726528,100124,3931762688,771036160,
fa0f98e3d42ae3299bc0d481fdc4072dd7ae9450,2026-05-26T13:03:36Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,312127494,43122,75965,3148687360,106494,3920495616,771808256,
2c6823b74cc0291d9a93eb8bae5809c2316bd338,2026-05-27T19:07:15Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312123271,42101,75855,3153690624,118467,3920379904,766689280,
66196916c35f1699fe04fdb54154d113c790aa28,2026-05-28T12:35:38Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312140815,42294,74894,3153692672,118770,3938466816,784774144,
b85c9eae35e42f49f47d300d1ba0f46d645c6b77,2026-05-29T14:10:30Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312187289,43376,79455,3142858752,120531,3919334400,776475648,
b4fc4a51f9a7751bf9a8c21cf28978556dfec5ec,2026-05-30T09:03:12Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312173441,40469,76376,3162184704,118459,3925354496,763169792,
2f81a4eb1bf539cca8b9615193d60c1ffd71f620,2026-06-01T18:49:41Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312300851,43669,79559,3136123904,119325,3915195392,779071488,
d90325d7b1c703f5d96b7fa81699d967039c866f,2026-06-02T11:45:38Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312321274,43990,77164,3146583040,122810,3922946048,776363008,
d67f84c41ff9c2434d5dc139edee0feec7e0db22,2026-06-03T09:56:38Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312324454,43420,77607,3157859328,127871,3924992000,767132672,
4b6b2a68662d7d5a3800e5107e5aceea913d8a3e,2026-06-04T17:35:04Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312330636,46727,79125,3141990400,111664,3917758464,775768064,
fdad8ac2ebaa10bb86b671fecc3e704099044876,2026-06-05T17:10:42Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,312379695,42998,76586,3154411520,123877,3927395328,772983808,
fb34c8feaea2308e03cc4cea958a0a5566d96d22,2026-06-06T07:19:18Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,332093619,42876,79061,3135677440,124163,3911690240,776012800,
5b14b88971c1f877cb5f4cce3f76c6bba2b34ceb,2026-06-08T14:46:04Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,332098401,40242,79085,3151340544,118251,3910709248,759368704,
7dca2bc8b1e8b458fd4d60e9d5c08fc606981dc3,2026-06-09T18:44:38Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314406349,43014,78366,3158888448,123144,3933697024,774808576,
c000aff3f31239f2452fa6979a5b09cbb4de8b48,2026-06-10T17:31:44Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,313191910,43392,74300,3156227072,113663,3931022336,774795264,
0b10b9a085e3fe0c1d3b4b27e54306cc63da4c1f,2026-06-11T20:36:50Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314361664,40719,71192,3157493760,114762,3925647360,768153600,
44eeffb8162e8b525cff24573523f593e03137a3,2026-06-12T13:01:57Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314561311,42207,73028,3168108544,114482,3928205312,760096768,
744084b203c3ebc8e3d7dae1f9e5b93f563f7816,2026-06-15T14:07:32Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314563351,41980,72610,3139605504,103145,3927294976,787689472,
070624ab8bd5e66a84a580312557d9f44fcec700,2026-06-16T10:14:30Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314565433,43682,74729,3144006656,113049,3929156608,785149952,
66056a9bae10051f9e48a92a9ae62e46c2421a33,2026-06-17T10:33:51Z,1.13.1-alpha,macos-arm64,defold/big-synthetic-project,ok,,314620301,44745,75820,3154798592,122556,3931487232,776688640,
